act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
5,1,48,#Adriana_Err,34,4,125,17
5,1,48,#Angelo_Err,12,2,125,17
5,1,48,#Luciana_Err,16,2,125,17
5,1,48,#Merchant2_Err,63,9,125,17
5,1,49,#Adriana_Err,212,26,313,38
5,1,49,#Duke_Err,101,12,313,38
5,1,50,#Adriana_Err,18,2,157,20
5,1,50,#Duke_Err,9,2,157,20
5,1,50,#Messenger_Err,130,16,157,20
5,1,51,#Adriana_Err,57,7,1161,149
5,1,51,#Angelo_Err,52,6,1161,149
5,1,51,#AntipholusOfEphesus_Err,508,66,1161,149
5,1,51,#Courtesan_Err,19,2,1161,149
5,1,51,#DromioOfEphesus_Err,86,11,1161,149
5,1,51,#Duke_Err,138,19,1161,149
5,1,51,#Egeon_Err,232,30,1161,149
5,1,51,#Luciana_Err,18,2,1161,149
5,1,51,#Merchant2_Err,51,6,1161,149
5,1,52,#Abbess_Err,221,29,615,80
5,1,52,#Adriana_Err,42,5,615,80
5,1,52,#Angelo_Err,19,2,615,80
5,1,52,#AntipholusOfEphesus_Err,55,7,615,80
5,1,52,#AntipholusOfSyracuse_Err,114,15,615,80
5,1,52,#Courtesan_Err,8,1,615,80
5,1,52,#DromioOfEphesus_Err,16,3,615,80
5,1,52,#DromioOfSyracuse_Err,16,2,615,80
5,1,52,#Duke_Err,99,13,615,80
5,1,52,#Egeon_Err,25,3,615,80
5,1,53,#AntipholusOfEphesus_Err,8,1,51,6
5,1,53,#AntipholusOfSyracuse_Err,25,3,51,6
5,1,53,#DromioOfSyracuse_Err,18,2,51,6
5,1,54,#DromioOfEphesus_Err,57,9,101,15
5,1,54,#DromioOfSyracuse_Err,44,6,101,15
1,1,1,#ATTENDANTS_Err,0,0,1190,158
3,1,13,#Angelo_Err,0,0,295,42
3,1,14,#Angelo_Err,0,0,174,28
3,1,14,#Balthasar_Err,0,0,174,28
3,1,15,#Angelo_Err,0,0,143,23
3,1,15,#Balthasar_Err,0,0,143,23
3,1,16,#Angelo_Err,0,0,40,5
3,1,16,#Balthasar_Err,0,0,40,5
3,1,16,#DromioOfEphesus_Err,0,0,40,5
3,1,16,#Luce_Err,0,0,40,5
4,1,23,#OFFICERS.X_Err,0,0,105,13
4,1,24,#Angelo_Err,0,0,72,8
4,1,24,#Merchant2_Err,0,0,72,8
4,1,26,#Angelo_Err,0,0,199,24
4,1,26,#Merchant2_Err,0,0,199,24
4,1,26,#OFFICERS.X_Err,0,0,199,24
4,2,31,#DromioOfSyracuse_Err,0,0,14,2
4,2,31,#Luciana_Err,0,0,14,2
4,2,32,#Luciana_Err,0,0,14,2
4,4,37,#OFFICERS.X_Err,0,0,58,7
4,4,39,#OFFICERS.X_Err,0,0,544,69
4,4,40,#Courtesan_Err,0,0,188,26
4,4,40,#SERVANTS.PINCH_Err,0,0,188,26
4,4,41,#Luciana_Err,0,0,119,15
4,4,42,#AntipholusOfSyracuse_Err,0,0,26,4
4,4,42,#Courtesan_Err,0,0,26,4
4,4,42,#DromioOfSyracuse_Err,0,0,26,4
5,1,45,#DromioOfSyracuse_Err,0,0,186,23
5,1,46,#Angelo_Err,0,0,45,5
5,1,46,#AntipholusOfSyracuse_Err,0,0,45,5
5,1,46,#Courtesan_Err,0,0,45,5
5,1,46,#Luciana_Err,0,0,45,5
5,1,46,#Merchant2_Err,0,0,45,5
5,1,46,#OTHERS_Err,0,0,45,5
5,1,47,#Courtesan_Err,0,0,586,79
5,1,47,#OTHERS_Err,0,0,586,79
5,1,48,#Courtesan_Err,0,0,125,17
5,1,48,#OTHERS_Err,0,0,125,17
5,1,49,#Angelo_Err,0,0,313,38
5,1,49,#Courtesan_Err,0,0,313,38
5,1,49,#Egeon_Err,0,0,313,38
5,1,49,#Headsman_Err,0,0,313,38
5,1,49,#Luciana_Err,0,0,313,38
5,1,49,#Merchant2_Err,0,0,313,38
5,1,49,#OFFICERS_Err,0,0,313,38
5,1,49,#OTHERS_Err,0,0,313,38
5,1,50,#Angelo_Err,0,0,157,20
5,1,50,#Courtesan_Err,0,0,157,20
5,1,50,#Egeon_Err,0,0,157,20
5,1,50,#Headsman_Err,0,0,157,20
5,1,50,#Luciana_Err,0,0,157,20
5,1,50,#Merchant2_Err,0,0,157,20
5,1,50,#OFFICERS_Err,0,0,157,20
5,1,50,#OTHERS_Err,0,0,157,20
5,1,51,#Headsman_Err,0,0,1161,149
5,1,51,#Messenger_Err,0,0,1161,149
5,1,51,#OFFICERS_Err,0,0,1161,149
5,1,51,#OTHERS_Err,0,0,1161,149
5,1,52,#Headsman_Err,0,0,615,80
5,1,52,#Luciana_Err,0,0,615,80
5,1,52,#Merchant2_Err,0,0,615,80
5,1,52,#Messenger_Err,0,0,615,80
5,1,52,#OFFICERS_Err,0,0,615,80
5,1,52,#OTHERS_Err,0,0,615,80
5,1,53,#DromioOfEphesus_Err,0,0,51,6
