source,target,n_lines,n_tokens,edge_type
#Isabella_MM,5.01.0097,12,86,active
#Juliet_MM,2.03.0030,7,44,active
#Juliet_MM,2.03.0031,3,19,active
#Justice_MM,2.01.0021,3,10,active
#Lucio_MM,1.02.0004,19,142,active
#Lucio_MM,1.02.0005,14,93,active
#Lucio_MM,1.02.0010,21,150,active
#Lucio_MM,1.04.0013,63,455,active
#Lucio_MM,2.02.0027,16,98,active
#Lucio_MM,3.02.0045,32,254,active
#Lucio_MM,3.02.0046,62,517,active
#Lucio_MM,4.03.0081,9,85,active
#Lucio_MM,4.03.0082,12,101,active
#Lucio_MM,5.01.0090,8,44,active
#Lucio_MM,5.01.0091,8,64,active
#Lucio_MM,5.01.0092,7,40,active
#Lucio_MM,5.01.0094,9,64,active
#Lucio_MM,5.01.0095,19,134,active
#Lucio_MM,5.01.0099,9,77,active
#Mariana_MM,4.01.0052,3,23,active
#Mariana_MM,4.01.0053,6,46,active
#Mariana_MM,4.01.0054,1,6,active
#Mariana_MM,4.01.0056,2,16,active
#Mariana_MM,4.01.0058,1,3,active
#Mariana_MM,4.06.0087,2,8,active
#Mariana_MM,5.01.0092,38,267,active
#Mariana_MM,5.01.0097,16,115,active
#Messenger_MM,4.02.0070,5,41,active
#Nun_MM,1.04.0012,1,5,active
#Nun_MM,1.04.0013,8,71,active
#Pompey_MM,1.02.0007,16,115,active
#Pompey_MM,1.02.0008,2,14,active
#Pompey_MM,2.01.0017,37,310,active
#Pompey_MM,2.01.0018,21,141,active
#Pompey_MM,2.01.0019,20,162,active
#Pompey_MM,3.02.0044,8,61,active
#Pompey_MM,3.02.0045,7,50,active
#Pompey_MM,4.02.0059,7,63,active
#Pompey_MM,4.02.0061,9,72,active
#Pompey_MM,4.02.0062,7,61,active
#Pompey_MM,4.03.0072,20,164,active
#Pompey_MM,4.03.0073,2,10,active
#Pompey_MM,4.03.0074,11,69,active
#Provost_MM,1.02.0009,2,14,active
#Provost_MM,1.02.0010,1,5,active
#Provost_MM,2.01.0015,1,6,active
#Provost_MM,2.02.0022,1,3,active
#Provost_MM,2.02.0023,5,31,active
#Provost_MM,2.02.0024,8,49,active
#Provost_MM,2.02.0025,3,18,active
#Provost_MM,2.02.0027,4,13,active
#Provost_MM,2.03.0029,2,19,active
#Provost_MM,2.03.0030,9,62,active
#Provost_MM,2.03.0031,1,4,active
#Provost_MM,3.01.0038,4,22,active
#Provost_MM,3.01.0041,2,7,active
#Provost_MM,3.02.0048,2,11,active
#Provost_MM,3.02.0049,2,17,active
#Provost_MM,4.02.0059,13,92,active
#Provost_MM,4.02.0060,8,63,active
#Provost_MM,4.02.0062,3,14,active
#Provost_MM,4.02.0063,1,5,active
#Provost_MM,4.02.0064,2,18,active
#Provost_MM,4.02.0065,7,42,active
#Provost_MM,4.02.0066,3,16,active
#Provost_MM,4.02.0067,5,18,active
#Provost_MM,4.02.0069,9,52,active
#Provost_MM,4.02.0070,2,9,active
#Provost_MM,4.02.0071,41,317,active
#Provost_MM,4.03.0077,15,103,active
#Provost_MM,4.03.0079,2,12,active
#Provost_MM,5.01.0097,9,57,active
#Provost_MM,5.01.0099,4,26,active
#SERVANTS.1_MM,2.02.0022,2,14,active
#SERVANTS.1_MM,2.02.0025,2,12,active
#SERVANTS.1_MM,2.04.0033,1,8,active
1.01.0001,#ATTENDANTS_MM,25,175,passive
1.01.0001,#Duke_MM,4,20,passive
1.01.0001,#Escalus_MM,21,155,passive
1.01.0002,#ATTENDANTS_MM,56,405,passive
1.01.0002,#Angelo_MM,47,346,passive
1.01.0002,#Duke_MM,10,67,passive
1.01.0002,#Escalus_MM,55,397,passive
1.01.0003,#ATTENDANTS_MM,9,65,passive
1.01.0003,#Angelo_MM,6,47,passive
1.01.0003,#Escalus_MM,3,18,passive
1.02.0004,#GENTLEMEN.1_MM,25,170,passive
1.02.0004,#GENTLEMEN.2_MM,37,267,passive
1.02.0004,#Lucio_MM,24,153,passive
1.02.0005,#Bawd_MM,27,168,passive
1.02.0005,#GENTLEMEN.1_MM,27,190,passive
1.02.0005,#GENTLEMEN.2_MM,30,203,passive
1.02.0005,#Lucio_MM,21,141,passive
1.02.0007,#Bawd_MM,16,115,passive
1.02.0007,#Pompey_MM,10,63,passive
1.02.0008,#Bawd_MM,2,14,passive
1.02.0008,#Claudio_MM,4,22,passive
1.02.0008,#Juliet_MM,4,22,passive
1.02.0008,#OFFICERS_MM,4,22,passive
1.02.0008,#Pompey_MM,2,8,passive
1.02.0008,#Provost_MM,4,22,passive
1.02.0009,#Claudio_MM,2,14,passive
1.02.0009,#Juliet_MM,8,66,passive
1.02.0009,#OFFICERS_MM,8,66,passive
1.02.0009,#Provost_MM,6,52,passive
1.02.0010,#Claudio_MM,22,155,passive
1.02.0010,#GENTLEMEN.2_MM,73,535,passive
1.02.0010,#Juliet_MM,73,535,passive
1.02.0010,#Lucio_MM,52,385,passive
1.02.0010,#OFFICERS_MM,73,535,passive
1.02.0010,#Provost_MM,72,530,passive
1.03.0011,#Duke_MM,6,35,passive
1.03.0011,#FriarThomas_MM,52,404,passive
1.04.0012,#Isabella_MM,1,5,passive
1.04.0012,#Nun_MM,4,30,passive
1.04.0013,#Isabella_MM,71,526,passive
1.04.0013,#Lucio_MM,32,215,passive
1.04.0013,#Nun_MM,87,599,passive
2.01.0014,#Angelo_MM,13,101,passive
2.01.0014,#Escalus_MM,20,161,passive
2.01.0014,#Justice_MM,33,262,passive
2.01.0014,#SERVANTS_MM,33,262,passive
2.01.0015,#Angelo_MM,2,12,passive
2.01.0015,#Escalus_MM,6,34,passive
2.01.0015,#Justice_MM,7,40,passive
2.01.0015,#Provost_MM,6,34,passive
2.01.0015,#SERVANTS_MM,7,40,passive
2.01.0016,#Angelo_MM,4,33,passive
2.01.0016,#Justice_MM,4,33,passive
2.01.0016,#SERVANTS_MM,4,33,passive
2.01.0017,#Angelo_MM,89,675,passive
2.01.0017,#Elbow_MM,69,504,passive
2.01.0017,#Escalus_MM,87,659,passive
2.01.0017,#Froth_MM,95,725,passive
2.01.0017,#Justice_MM,101,751,passive
2.01.0017,#OFFICERS_MM,101,751,passive
2.01.0017,#Pompey_MM,64,441,passive
2.01.0017,#SERVANTS_MM,101,751,passive
2.01.0018,#Elbow_MM,53,346,passive
2.01.0018,#Escalus_MM,47,337,passive
2.01.0018,#Froth_MM,69,478,passive
2.01.0018,#Justice_MM,74,510,passive
2.01.0018,#OFFICERS_MM,74,510,passive
2.01.0018,#Pompey_MM,53,369,passive
2.01.0018,#SERVANTS_MM,74,510,passive
2.01.0019,#Elbow_MM,45,350,passive
2.01.0019,#Escalus_MM,20,162,passive
2.01.0019,#Justice_MM,45,350,passive
2.01.0019,#OFFICERS_MM,45,350,passive
2.01.0019,#Pompey_MM,25,188,passive
2.01.0019,#SERVANTS_MM,45,350,passive
2.01.0020,#Elbow_MM,12,94,passive
2.01.0020,#Escalus_MM,7,49,passive
2.01.0020,#Justice_MM,19,143,passive
2.01.0020,#OFFICERS_MM,19,143,passive
2.01.0020,#SERVANTS_MM,19,143,passive
2.01.0021,#Escalus_MM,3,10,passive
2.01.0021,#Justice_MM,9,54,passive
2.01.0021,#SERVANTS_MM,12,64,passive
2.02.0022,#Provost_MM,2,14,passive
2.02.0022,#SERVANTS.1_MM,1,3,passive
2.02.0024,#Angelo_MM,8,49,passive
2.02.0024,#Provost_MM,8,53,passive
2.02.0025,#Angelo_MM,5,30,passive
2.02.0025,#Provost_MM,4,21,passive
2.02.0025,#SERVANTS.1_MM,5,27,passive
2.02.0026,#Provost_MM,3,20,passive
2.02.0027,#Angelo_MM,115,806,passive
2.02.0027,#Isabella_MM,68,423,passive
2.02.0027,#Lucio_MM,147,1020,passive
2.02.0027,#Provost_MM,159,1105,passive
2.03.0029,#Duke_MM,2,19,passive
2.03.0029,#Provost_MM,7,55,passive
2.03.0030,#Duke_MM,16,106,passive
2.03.0030,#Juliet_MM,28,189,passive
2.03.0030,#Provost_MM,26,171,passive
2.03.0031,#Juliet_MM,1,4,passive
2.03.0031,#Provost_MM,3,19,passive
2.04.0033,#Angelo_MM,1,8,passive
2.04.0033,#SERVANTS.1_MM,1,4,passive
2.04.0035,#Angelo_MM,63,432,passive
2.04.0035,#Isabella_MM,90,672,passive
3.01.0037,#Claudio_MM,40,327,passive
3.01.0037,#Duke_MM,6,42,passive
3.01.0037,#Provost_MM,46,369,passive
3.01.0038,#Claudio_MM,10,63,passive
3.01.0038,#Duke_MM,7,45,passive
3.01.0038,#Isabella_MM,9,52,passive
3.01.0038,#Provost_MM,7,47,passive
3.01.0039,#Claudio_MM,69,468,passive
3.01.0039,#Isabella_MM,44,274,passive
3.01.0040,#Claudio_MM,23,164,passive
3.01.0040,#Duke_MM,6,47,passive
3.01.0040,#Isabella_MM,21,163,passive
3.01.0041,#Claudio_MM,6,36,passive
3.01.0041,#Duke_MM,2,7,passive
3.01.0041,#Isabella_MM,6,36,passive
3.01.0041,#Provost_MM,4,29,passive
3.01.0042,#Duke_MM,21,169,passive
3.01.0042,#Isabella_MM,74,608,passive
3.02.0043,#OFFICERS_MM,4,32,passive
3.02.0043,#Pompey_MM,4,32,passive
3.02.0044,#Duke_MM,19,151,passive
3.02.0044,#Elbow_MM,26,201,passive
3.02.0044,#OFFICERS_MM,37,291,passive
3.02.0044,#Pompey_MM,29,230,passive
3.02.0045,#Duke_MM,42,322,passive
3.02.0045,#Elbow_MM,41,312,passive
3.02.0045,#Lucio_MM,12,76,passive
3.02.0045,#OFFICERS_MM,44,330,passive
3.02.0045,#Pompey_MM,37,280,passive
3.02.0046,#Duke_MM,62,517,passive
3.02.0046,#Lucio_MM,38,274,passive
3.02.0048,#Bawd_MM,9,61,passive
3.02.0048,#Duke_MM,17,130,passive
3.02.0048,#Escalus_MM,10,80,passive
3.02.0048,#OFFICERS_MM,17,130,passive
3.02.0048,#Provost_MM,15,119,passive
3.02.0049,#Duke_MM,26,197,passive
3.02.0049,#Escalus_MM,29,240,passive
3.02.0049,#Provost_MM,51,403,passive
4.01.0051,#Mariana_MM,6,41,passive
4.01.0052,#Boy_MM,3,23,passive
4.01.0052,#Duke_MM,3,23,passive
4.01.0053,#Duke_MM,6,46,passive
4.01.0053,#Mariana_MM,5,40,passive
4.01.0054,#Duke_MM,1,6,passive
4.01.0054,#Isabella_MM,5,36,passive
4.01.0054,#Mariana_MM,4,30,passive
4.01.0055,#Duke_MM,18,140,passive
4.01.0055,#Isabella_MM,8,54,passive
4.01.0056,#Duke_MM,3,21,passive
4.01.0056,#Isabella_MM,10,66,passive
4.01.0056,#Mariana_MM,9,55,passive
4.01.0058,#Duke_MM,6,32,passive
4.01.0058,#Isabella_MM,10,65,passive
4.01.0058,#Mariana_MM,14,91,passive
4.02.0059,#OFFICERS.1_MM,20,155,passive
4.02.0059,#Pompey_MM,13,92,passive
4.02.0059,#Provost_MM,7,63,passive
4.02.0060,#Abhorson_MM,8,63,passive
4.02.0060,#OFFICERS.1_MM,11,78,passive
4.02.0060,#Pompey_MM,11,78,passive
4.02.0060,#Provost_MM,3,15,passive
4.02.0061,#Abhorson_MM,9,72,passive
4.02.0061,#OFFICERS.1_MM,16,125,passive
4.02.0061,#Pompey_MM,7,53,passive
4.02.0062,#Abhorson_MM,10,75,passive
4.02.0062,#OFFICERS.1_MM,12,86,passive
4.02.0062,#Pompey_MM,5,25,passive
4.02.0062,#Provost_MM,9,72,passive
4.02.0063,#OFFICERS.1_MM,1,5,passive
4.02.0065,#Claudio_MM,7,42,passive
4.02.0065,#OFFICERS.1_MM,10,63,passive
4.02.0065,#Provost_MM,3,21,passive
4.02.0067,#Duke_MM,5,18,passive
4.02.0067,#Provost_MM,13,89,passive
4.02.0069,#Duke_MM,9,52,passive
4.02.0069,#Provost_MM,7,43,passive
4.02.0070,#Duke_MM,7,50,passive
4.02.0070,#Messenger_MM,3,14,passive
4.02.0070,#Provost_MM,6,46,passive
4.02.0071,#Duke_MM,41,317,passive
4.02.0071,#Provost_MM,67,526,passive
4.03.0073,#Abhorson_MM,2,10,passive
4.03.0073,#Pompey_MM,2,7,passive
4.03.0074,#Abhorson_MM,19,111,passive
4.03.0074,#Barnardine_MM,17,110,passive
4.03.0074,#Pompey_MM,14,83,passive
4.03.0075,#Abhorson_MM,16,115,passive
4.03.0075,#Barnardine_MM,10,59,passive
4.03.0075,#Duke_MM,10,84,passive
4.03.0075,#Pompey_MM,18,129,passive
4.03.0076,#Abhorson_MM,2,16,passive
4.03.0076,#Pompey_MM,2,16,passive
4.03.0077,#Duke_MM,15,103,passive
4.03.0077,#Provost_MM,15,91,passive
4.03.0079,#Duke_MM,2,12,passive
4.03.0079,#Provost_MM,3,22,passive
4.03.0080,#Duke_MM,9,55,passive
4.03.0080,#Isabella_MM,39,290,passive
4.03.0081,#Duke_MM,9,85,passive
4.03.0081,#Isabella_MM,10,88,passive
4.03.0081,#Lucio_MM,1,3,passive
4.03.0082,#Duke_MM,12,101,passive
4.03.0082,#Lucio_MM,11,63,passive
4.04.0083,#Angelo_MM,8,46,passive
4.04.0083,#Escalus_MM,13,93,passive
4.05.0085,#Duke_MM,1,5,passive
4.05.0085,#FriarPeter_MM,10,78,passive
4.05.0086,#Varrius_MM,3,26,passive
4.06.0087,#Isabella_MM,2,8,passive
4.06.0087,#Mariana_MM,8,64,passive
4.06.0088,#FriarPeter_MM,1,6,passive
4.06.0088,#Isabella_MM,7,49,passive
4.06.0088,#Mariana_MM,8,55,passive
5.01.0089,#ATTENDANTS_MM,20,142,passive
5.01.0089,#Angelo_MM,18,129,passive
5.01.0089,#CITIZENS_MM,20,142,passive
5.01.0089,#Duke_MM,2,13,passive
5.01.0089,#Escalus_MM,19,135,passive
5.01.0089,#Lucio_MM,20,142,passive
5.01.0089,#OFFICERS_MM,20,142,passive
5.01.0089,#Provost_MM,20,142,passive
5.01.0089,#Varrius_MM,20,142,passive
5.01.0090,#ATTENDANTS_MM,128,870,passive
5.01.0090,#Angelo_MM,124,836,passive
5.01.0090,#CITIZENS_MM,128,870,passive
5.01.0090,#Duke_MM,87,591,passive
5.01.0090,#Escalus_MM,128,870,passive
5.01.0090,#FriarPeter_MM,127,860,passive
5.01.0090,#Isabella_MM,54,367,passive
5.01.0090,#Lucio_MM,120,826,passive
5.01.0090,#OFFICERS_MM,128,870,passive
5.01.0090,#Provost_MM,128,870,passive
5.01.0090,#Varrius_MM,128,870,passive
5.01.0091,#ATTENDANTS_MM,44,328,passive
5.01.0091,#Angelo_MM,44,328,passive
5.01.0091,#CITIZENS_MM,44,328,passive
5.01.0091,#Duke_MM,32,243,passive
5.01.0091,#Escalus_MM,44,328,passive
5.01.0091,#FriarPeter_MM,20,149,passive
5.01.0091,#Lucio_MM,36,264,passive
5.01.0091,#OFFICERS_MM,44,328,passive
5.01.0091,#Provost_MM,44,328,passive
5.01.0091,#Varrius_MM,44,328,passive
5.01.0092,#ATTENDANTS_MM,97,635,passive
5.01.0092,#Angelo_MM,78,498,passive
5.01.0092,#CITIZENS_MM,97,635,passive
5.01.0092,#Duke_MM,68,474,passive
5.01.0092,#Escalus_MM,97,635,passive
5.01.0092,#FriarPeter_MM,93,605,passive
5.01.0092,#Lucio_MM,90,595,passive
5.01.0092,#Mariana_MM,59,368,passive
5.01.0092,#OFFICERS_MM,97,635,passive
5.01.0092,#Provost_MM,97,635,passive
5.01.0092,#Varrius_MM,97,635,passive
5.01.0093,#ATTENDANTS_MM,8,51,passive
5.01.0093,#Angelo_MM,8,51,passive
5.01.0093,#CITIZENS_MM,8,51,passive
5.01.0093,#Duke_MM,1,6,passive
5.01.0093,#Escalus_MM,7,45,passive
5.01.0093,#FriarPeter_MM,8,51,passive
5.01.0093,#Lucio_MM,8,51,passive
5.01.0093,#Mariana_MM,8,51,passive
5.01.0093,#OFFICERS_MM,8,51,passive
5.01.0093,#Varrius_MM,8,51,passive
5.01.0094,#ATTENDANTS_MM,20,141,passive
5.01.0094,#Angelo_MM,20,141,passive
5.01.0094,#CITIZENS_MM,20,141,passive
5.01.0094,#Escalus_MM,9,64,passive
5.01.0094,#FriarPeter_MM,20,141,passive
5.01.0094,#Lucio_MM,11,77,passive
5.01.0094,#Mariana_MM,20,141,passive
5.01.0094,#OFFICERS_MM,20,141,passive
5.01.0094,#Varrius_MM,20,141,passive
5.01.0095,#ATTENDANTS_MM,112,765,passive
5.01.0095,#Angelo_MM,97,666,passive
