act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
2,1,16,#ChiefJustice_2H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,5,1
2,1,16,#Falstaff_1H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,137,18
2,1,16,#MESSENGERS.Gower_2H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,18,2
2,1,16,#MistressQuickly_1H4,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4,82,12
2,1,17,#ChiefJustice_2H4,#ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #OFFICERS_2H4,71,13
2,1,17,#Falstaff_1H4,#ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #OFFICERS_2H4,76,12
2,1,17,#MESSENGERS.Gower_2H4,#ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #OFFICERS_2H4,38,6
2,2,18,#HenryV_H5,#HenryV_H5 #Poins_1H4,391,45
2,2,18,#Poins_1H4,#HenryV_H5 #Poins_1H4,179,22
2,2,19,#Bardolph_1H4,#Bardolph_1H4 #HenryV_H5 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,62,11
2,2,19,#HenryV_H5,#Bardolph_1H4 #HenryV_H5 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,321,47
2,2,19,#Poins_1H4,#Bardolph_1H4 #HenryV_H5 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,195,26
2,2,19,#SERVANTS.FALSTAFF.1_2H4,#Bardolph_1H4 #HenryV_H5 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,105,14
2,2,20,#HenryV_H5,#HenryV_H5 #Poins_1H4,63,9
2,2,20,#Poins_1H4,#HenryV_H5 #Poins_1H4,29,4
2,3,21,#LadyNorthumberland_2H4,#LadyNorthumberland_2H4 #LadyPercy_1H4 #Northumberland_R2,38,5
2,3,21,#LadyPercy_1H4,#LadyNorthumberland_2H4 #LadyPercy_1H4 #Northumberland_R2,372,46
2,3,21,#Northumberland_R2,#LadyNorthumberland_2H4 #LadyPercy_1H4 #Northumberland_R2,142,20
2,4,22,#DRAWERS.1_2H4,#DRAWERS.1_2H4 #DRAWERS.Francis_1H4,54,6
2,4,22,#DRAWERS.Francis_1H4,#DRAWERS.1_2H4 #DRAWERS.Francis_1H4,52,8
2,4,23,#DRAWERS.1_2H4,#DRAWERS.1_2H4 #DRAWERS.Francis_1H4 #DRAWERS.Will_2H4,14,2
2,4,23,#DRAWERS.Francis_1H4,#DRAWERS.1_2H4 #DRAWERS.Francis_1H4 #DRAWERS.Will_2H4,8,1
2,4,23,#DRAWERS.Will_2H4,#DRAWERS.1_2H4 #DRAWERS.Francis_1H4 #DRAWERS.Will_2H4,33,4
2,4,24,#DollTearsheet_2H4,#DRAWERS.Will_2H4 #DollTearsheet_2H4 #MistressQuickly_1H4,5,1
2,4,24,#MistressQuickly_1H4,#DRAWERS.Will_2H4 #DollTearsheet_2H4 #MistressQuickly_1H4,81,10
2,4,25,#Falstaff_1H4,#DRAWERS.Will_2H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,8,2
2,4,26,#DollTearsheet_2H4,#DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,100,13
2,4,26,#Falstaff_1H4,#DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,98,14
2,4,26,#MistressQuickly_1H4,#DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,66,8
2,4,27,#DRAWERS.X_2H4,#DRAWERS.X_2H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,9,2
2,4,27,#DollTearsheet_2H4,#DRAWERS.X_2H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,16,2
2,4,27,#Falstaff_1H4,#DRAWERS.X_2H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,51,7
2,4,27,#MistressQuickly_1H4,#DRAWERS.X_2H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,188,22
2,4,28,#DollTearsheet_2H4,#DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,4,1
2,4,28,#MistressQuickly_1H4,#DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4,59,7
2,4,29,#Bardolph_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #Pistol_2H4 #SERVANTS.FALSTAFF.1_2H4,20,4
2,4,29,#DollTearsheet_2H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #Pistol_2H4 #SERVANTS.FALSTAFF.1_2H4,201,25
2,4,29,#Falstaff_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #Pistol_2H4 #SERVANTS.FALSTAFF.1_2H4,85,14
2,4,29,#MistressQuickly_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #Pistol_2H4 #SERVANTS.FALSTAFF.1_2H4,116,17
2,4,29,#Pistol_2H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #Pistol_2H4 #SERVANTS.FALSTAFF.1_2H4,259,38
2,4,29,#SERVANTS.FALSTAFF.1_2H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #Pistol_2H4 #SERVANTS.FALSTAFF.1_2H4,4,1
2,4,30,#DollTearsheet_2H4,#DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,16,2
2,4,30,#MistressQuickly_1H4,#DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,16,2
2,4,31,#Bardolph_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,13,2
2,4,31,#DollTearsheet_2H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,70,8
2,4,31,#Falstaff_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,23,4
2,4,32,#DollTearsheet_2H4,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MUSICIANS_2H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,34,5
2,4,32,#Falstaff_1H4,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MUSICIANS_2H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,21,3
2,4,32,#SERVANTS.FALSTAFF.1_2H4,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MUSICIANS_2H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,5,1
2,4,33,#DollTearsheet_2H4,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,85,12
2,4,33,#Falstaff_1H4,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,471,62
