tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
w,,PRO.4,unclean,fs-rom-0000650,,unclean,#j,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.4,.,fs-rom-0000660,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.5,,ftln-0005,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.5,From,fs-rom-0000670,,from,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.5,forth,fs-rom-0000690,,forth,#av,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.5,the,fs-rom-0000710,,the,#d,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.5,fatal,fs-rom-0000730,,fatal,#j,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.5,loins,fs-rom-0000750,,loin,#n2,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.5,of,fs-rom-0000770,,of,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.5,these,fs-rom-0000790,,these,#d,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.5,two,fs-rom-0000810,,two,#crd,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.5,foes,fs-rom-0000830,,foe,#n2,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.6,,ftln-0006,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.6,A,fs-rom-0000840,,a,#d,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.6,pair,fs-rom-0000860,,pair,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.6,of,fs-rom-0000880,,of,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.6,star-crossed,fs-rom-0000900,,star-crossed,#j,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.6,lovers,fs-rom-0000920,,lover,#n2,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.6,take,fs-rom-0000940,,take,#vvb,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
