tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,foot,fs-wt-0000520,,foot,#n1,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.3,",",fs-wt-0000530,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,you,fs-wt-0000550,,you,#pn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,shall,fs-wt-0000570,,shall,#vmb,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,see,fs-wt-0000590,,see,#vvi,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.3,",",fs-wt-0000600,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,as,fs-wt-0000620,,as,#acp-cs,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,I,fs-wt-0000640,,i,#pns,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,have,fs-wt-0000660,,have,#vvb,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,said,fs-wt-0000680,,say,#vvn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.3,",",fs-wt-0000690,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.3,great,fs-wt-0000710,,great,#j,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
lb,,1.1.4,,ftln-0004,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
w,,1.1.4,difference,fs-wt-0000720,,difference,#n1,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.4,betwixt,fs-wt-0000740,,betwixt,#acp-p,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.4,our,fs-wt-0000760,,our,#po,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.4,Bohemia,fs-wt-0000780,,Bohemia,#n1-nn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.4,and,fs-wt-0000800,,and,#cc,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.4,your,fs-wt-0000820,,your,#po,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.4,Sicilia,fs-wt-0000840,,Sicilia,#n1-nn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.4,.,fs-wt-0000850,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
sp,,,,sp-0005,{'#Camillo_WT'},,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
p,,,,p-0005,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
lb,,1.1.5,,ftln-0005,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
w,,1.1.5,I,fs-wt-0000870,,i,#pns,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.5,think,fs-wt-0000890,,think,#vvb,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.5,this,fs-wt-0000910,,this,#d,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.5,coming,fs-wt-0000930,,come,#j_vg,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.5,summer,fs-wt-0000950,,summer,#n1,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.5,the,fs-wt-0000970,,the,#d,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.5,King,fs-wt-0000990,,king,#n1,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.5,of,fs-wt-0001010,,of,#acp-p,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
lb,,1.1.6,,ftln-0006,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
w,,1.1.6,Sicilia,fs-wt-0001020,,Sicilia,#n1-nn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.6,means,fs-wt-0001040,,mean,#vvz,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.6,to,fs-wt-0001060,,to,#acp-cs,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.6,pay,fs-wt-0001080,,pay,#vvi,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.6,Bohemia,fs-wt-0001100,,Bohemia,#n1-nn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.6,the,fs-wt-0001120,,the,#d,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.6,visitation,fs-wt-0001140,,visitation,#n1,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.6,which,fs-wt-0001160,,which,#crq-r,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
lb,,1.1.7,,ftln-0007,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
w,,1.1.7,he,fs-wt-0001170,,he,#pns,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.7,justly,fs-wt-0001190,,just,#av_j,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.7,owes,fs-wt-0001210,,owe,#vvz,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.7,him,fs-wt-0001230,,he,#pno,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
pc,,1.1.7,.,fs-wt-0001240,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
sp,,,,sp-0008,{'#Archidamus_WT'},,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
p,,,,p-0008,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
lb,,1.1.8,,ftln-0008,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
w,,1.1.8,Wherein,fs-wt-0001260,,wherein,#crq-cs,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.8,our,fs-wt-0001280,,our,#po,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.8,entertainment,fs-wt-0001300,,entertainment,#n1,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.8,shall,fs-wt-0001320,,shall,#vmb,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.8,shame,fs-wt-0001340,,shame,#vvi,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
lb,,1.1.9,,ftln-0009,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
w,,1.1.9,us,fs-wt-0001350,,we,#pno,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.9,;,fs-wt-0001360,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.9,we,fs-wt-0001380,,we,#pns,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.9,will,fs-wt-0001400,,will,#vmb,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
