tag,type,n,text,xml:id,who,ana,lemma,rendition,part,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#EdwardIV_3H6', '#SOLDIERS.YORK_3H6', '#Warwick_2H6', '#Montague_3H6', '#York_1H6', '#RichardIII_R3', '#Norfolk_3H6'}",,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
stage,sound,SD 1.1.0,,snd-0000,,alarum,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Alarum,fs-3h6-0000070,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,.,fs-3h6-0000080,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Enter,fs-3h6-0000100,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Richard,fs-3h6-0000120,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Plantagenet,fs-3h6-0000140,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,",",fs-3h6-0000150,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Duke,fs-3h6-0000170,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,of,fs-3h6-0000190,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,York,fs-3h6-0000210,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,;,fs-3h6-0000220,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Edward,fs-3h6-0000230,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,;,fs-3h6-0000240,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Richard,fs-3h6-0000260,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,;,fs-3h6-0000270,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Norfolk,fs-3h6-0000290,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,;,fs-3h6-0000300,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Montague,fs-3h6-0000320,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,;,fs-3h6-0000330,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Warwick,fs-3h6-0000350,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,;,fs-3h6-0000360,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,and,fs-3h6-0000380,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,Soldiers,fs-3h6-0000390,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,",",fs-3h6-0000400,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,all,fs-3h6-0000420,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,wearing,fs-3h6-0000440,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,the,fs-3h6-0000460,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,white,fs-3h6-0000480,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,SD 1.1.0,rose,fs-3h6-0000500,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
pc,,SD 1.1.0,.,fs-3h6-0000510,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
sp,,,,sp-0001,{'#Warwick_2H6'},,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
l,,1.1.1,,ftln-0001,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
w,,1.1.1,I,fs-3h6-0000530,,#pns,i,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.1,wonder,fs-3h6-0000550,,#vvb,wonder,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.1,how,fs-3h6-0000570,,#crq-cs,how,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.1,the,fs-3h6-0000590,,#d,the,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.1,King,fs-3h6-0000610,,#n1,king,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.1,escaped,fs-3h6-0000630,,#vvd,escape,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.1,our,fs-3h6-0000650,,#po,our,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.1,hands,fs-3h6-0000670,,#n2,hand,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
pc,,1.1.1,.,fs-3h6-0000680,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#Warwick_2H6
sp,,,,sp-0002,{'#York_1H6'},,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
l,,1.1.2,,ftln-0002,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
w,,1.1.2,While,fs-3h6-0000700,,#cs,while,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.2,we,fs-3h6-0000720,,#pns,we,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.2,pursued,fs-3h6-0000740,,#vvd,pursue,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.2,the,fs-3h6-0000760,,#d,the,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.2,horsemen,fs-3h6-0000780,,#n2,horseman,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.2,of,fs-3h6-0000800,,#acp-p,of,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.2,the,fs-3h6-0000820,,#d,the,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.2,north,fs-3h6-0000840,,#n1,north,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
pc,,1.1.2,",",fs-3h6-0000850,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
l,,1.1.3,,ftln-0003,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
w,,1.1.3,He,fs-3h6-0000860,,#pns,he,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.3,slyly,fs-3h6-0000880,,#av_j,sly,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.3,stole,fs-3h6-0000900,,#vvd,steal,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.3,away,fs-3h6-0000920,,#av,away,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.3,and,fs-3h6-0000940,,#cc,and,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.3,left,fs-3h6-0000960,,#vvd,leave,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.3,his,fs-3h6-0000980,,#po,his,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.3,men,fs-3h6-0001000,,#n2,man,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
pc,,1.1.3,;,fs-3h6-0001010,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
l,,1.1.4,,ftln-0004,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
w,,1.1.4,Whereat,fs-3h6-0001020,,#crq-cs,whereat,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.4,the,fs-3h6-0001040,,#d,the,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.4,great,fs-3h6-0001060,,#j,great,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.4,lord,fs-3h6-0001080,,#n1,lord,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.4,of,fs-3h6-0001100,,#acp-p,of,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.4,Northumberland,fs-3h6-0001120,,#n1-nn,Northumberland,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
pc,,1.1.4,",",fs-3h6-0001130,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
l,,1.1.5,,ftln-0005,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
w,,1.1.5,Whose,fs-3h6-0001140,,#crq-rg,who,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.5,warlike,fs-3h6-0001160,,#j,warlike,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.5,ears,fs-3h6-0001180,,#n2,ear,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.5,could,fs-3h6-0001200,,#vmd,can,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
w,,1.1.5,never,fs-3h6-0001220,,#av-x,never,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,#York_1H6
c,,, ,,,,,,,,1,1,#EdwardIV_3H6 #Montague_3H6 #Norfolk_3H6 #RichardIII_R3 #SOLDIERS.YORK_3H6 #Warwick_2H6 #York_1H6,1,
