act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
3,1,41,#HenryIV_1H4,217,28,217,28
3,1,42,#HenryIV_1H4,367,50,587,81
3,1,42,#Warwick_2H4,220,31,587,81
3,2,43,#Shallow_2H4,361,44,434,58
3,2,43,#Silence_2H4,73,14,434,58
3,2,44,#Bardolph_1H4,112,14,211,26
3,2,44,#Shallow_2H4,99,12,211,26
3,2,45,#Falstaff_1H4,51,7,156,20
3,2,45,#Shallow_2H4,100,12,156,20
3,2,45,#Silence_2H4,5,1,156,20
3,2,46,#Bullcalf_2H4,37,6,793,122
3,2,46,#Falstaff_1H4,374,58,793,122
3,2,46,#Feeble_2H4,29,6,793,122
3,2,46,#Mouldy_2H4,57,8,793,122
3,2,46,#Shadow_2H4,6,2,793,122
3,2,46,#Shallow_2H4,282,39,793,122
3,2,46,#Silence_2H4,4,1,793,122
3,2,46,#Wart_2H4,4,2,793,122
3,2,47,#Bardolph_1H4,15,3,191,23
3,2,47,#Bullcalf_2H4,72,8,191,23
3,2,47,#Feeble_2H4,66,7,191,23
3,2,47,#Mouldy_2H4,38,5,191,23
3,2,48,#Bardolph_1H4,14,2,79,13
3,2,48,#Falstaff_1H4,45,7,79,13
3,2,48,#Shallow_2H4,20,4,79,13
3,2,49,#Bardolph_1H4,6,2,388,48
3,2,49,#Falstaff_1H4,227,28,388,48
3,2,49,#Shallow_2H4,155,18,388,48
3,2,50,#Falstaff_1H4,6,1,6,1
3,2,51,#Falstaff_1H4,329,34,329,34
4,1,52,#Archbishop_1H4,101,15,130,19
4,1,52,#Hastings_2H4,14,2,130,19
4,1,52,#Mowbray_2H4,15,2,130,19
4,1,53,#Hastings_2H4,3,1,54,7
4,1,53,#MESSENGERS.1_2H4,33,4,54,7
4,1,53,#Mowbray_2H4,18,2,54,7
4,1,54,#Archbishop_1H4,383,53,1228,166
4,1,54,#Hastings_2H4,27,4,1228,166
4,1,54,#Mowbray_2H4,204,27,1228,166
4,1,54,#Westmoreland_1H4,614,82,1228,166
4,1,55,#Archbishop_1H4,166,23,322,44
4,1,55,#Hastings_2H4,67,9,322,44
4,1,55,#Mowbray_2H4,89,12,322,44
4,1,56,#Westmoreland_1H4,18,2,18,2
4,1,57,#Archbishop_1H4,172,25,746,106
4,1,57,#Bedford_H5,373,53,746,106
4,1,57,#Hastings_2H4,69,9,746,106
4,1,57,#Mowbray_2H4,55,8,746,106
4,1,57,#Westmoreland_1H4,77,11,746,106
4,1,58,#Archbishop_1H4,13,3,37,7
4,1,58,#Bedford_H5,24,4,37,7
4,1,59,#Bedford_H5,8,1,8,1
4,1,60,#Bedford_H5,11,2,28,4
4,1,60,#Westmoreland_1H4,17,2,28,4
4,1,61,#Archbishop_1H4,6,1,170,24
4,1,61,#Bedford_H5,91,12,170,24
4,1,61,#Hastings_2H4,32,5,170,24
4,1,61,#Mowbray_2H4,6,1,170,24
4,1,61,#Westmoreland_1H4,35,5,170,24
4,2,62,#Colevile_2H4,32,5,196,23
4,2,62,#Falstaff_1H4,164,18,196,23
4,2,63,#Bedford_H5,15,2,15,2
4,2,64,#Bedford_H5,62,11,382,46
4,2,64,#Colevile_2H4,32,4,382,46
4,2,64,#Falstaff_1H4,288,31,382,46
4,2,65,#Bedford_H5,25,4,31,5
4,2,65,#Westmoreland_1H4,6,1,31,5
4,2,66,#Bedford_H5,59,8,86,12
4,2,66,#Falstaff_1H4,27,4,86,12
4,2,67,#Falstaff_1H4,371,41,371,41
4,2,68,#Bardolph_1H4,7,1,45,7
4,2,68,#Falstaff_1H4,38,6,45,7
4,3,69,#Clarence_2H4,31,5,616,86
4,3,69,#Gloucester_2H4,25,3,616,86
4,3,69,#HenryIV_1H4,455,63,616,86
4,3,69,#Warwick_2H4,105,15,616,86
4,3,70,#HenryIV_1H4,23,4,99,14
4,3,70,#Westmoreland_1H4,76,10,99,14
4,3,71,#Clarence_2H4,78,10,373,51
4,3,71,#Gloucester_2H4,42,7,373,51
4,3,71,#Harcourt_2H4,64,8,373,51
4,3,71,#HenryIV_1H4,138,18,373,51
4,3,71,#Warwick_2H4,43,7,373,51
4,3,71,#Westmoreland_1H4,8,1,373,51
4,3,72,#Clarence_2H4,14,2,98,15
4,3,72,#Gloucester_2H4,9,2,98,15
4,3,72,#HenryV_H5,47,7,98,15
4,3,72,#Warwick_2H4,28,4,98,15
4,3,73,#HenryV_H5,217,29,217,29
4,3,74,#HenryIV_1H4,3,2,3,2
4,3,75,#Clarence_2H4,21,3,121,16
4,3,75,#Gloucester_2H4,9,2,121,16
4,3,75,#HenryIV_1H4,65,8,121,16
4,3,75,#Warwick_2H4,26,3,121,16
4,3,76,#HenryIV_1H4,124,19,124,19
4,3,77,#HenryIV_1H4,25,3,72,9
4,3,77,#Warwick_2H4,47,6,72,9
4,3,78,#HenryIV_1H4,16,2,16,2
4,3,79,#HenryIV_1H4,718,94,1081,141
4,3,79,#HenryV_H5,363,47,1081,141
4,3,80,#Bedford_H5,8,1,56,8
4,3,80,#HenryIV_1H4,44,6,56,8
4,3,80,#HenryV_H5,4,1,56,8
4,3,81,#HenryIV_1H4,60,8,66,9
4,3,81,#Warwick_2H4,6,1,66,9
5,1,82,#Falstaff_1H4,7,1,49,7
5,1,82,#Shallow_2H4,42,6,49,7
5,1,83,#Davy_2H4,199,25,347,47
5,1,83,#Shallow_2H4,148,22,347,47
5,1,84,#Bardolph_1H4,7,1,50,8
5,1,84,#Falstaff_1H4,7,1,50,8
5,1,84,#Shallow_2H4,36,6,50,8
5,1,85,#Falstaff_1H4,5,1,5,1
5,1,86,#Falstaff_1H4,229,25,229,25
5,1,87,#Falstaff_1H4,8,2,10,3
5,1,87,#Shallow_2H4,2,1,10,3
5,2,88,#ChiefJustice_2H4,63,9,102,14
5,2,88,#Warwick_2H4,39,5,102,14
5,2,89,#Bedford_H5,46,6,219,28
5,2,89,#ChiefJustice_2H4,72,9,219,28
5,2,89,#Clarence_2H4,19,3,219,28
5,2,89,#Gloucester_2H4,30,4,219,28
5,2,89,#Warwick_2H4,55,7,219,28
5,2,90,#Bedford_H5,7,1,822,105
5,2,90,#ChiefJustice_2H4,254,32,822,105
5,2,90,#Clarence_2H4,7,1,822,105
5,2,90,#Gloucester_2H4,7,1,822,105
5,2,90,#HenryV_H5,557,71,822,105
5,2,90,#Warwick_2H4,4,1,822,105
5,3,91,#Davy_2H4,35,4,212,29
5,3,91,#Falstaff_1H4,40,6,212,29
5,3,91,#Shallow_2H4,95,12,212,29
5,3,91,#Silence_2H4,42,7,212,29
5,3,92,#Falstaff_1H4,13,2,67,11
5,3,92,#Shallow_2H4,11,2,67,11
5,3,92,#Silence_2H4,43,7,67,11
