act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,3,14,#Rivers_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,51,7
1,3,15,#Buckingham_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,10,1
1,3,15,#QueenElizabeth_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,8,1
1,3,15,#RichardIII_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,93,11
1,3,15,#Rivers_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,26,3
1,3,16,#Catesby_R3,#Buckingham_R3 #Catesby_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,16,3
1,3,16,#QueenElizabeth_3H6,#Buckingham_R3 #Catesby_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,9,1
1,3,16,#Rivers_3H6,#Buckingham_R3 #Catesby_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,5,1
1,3,17,#RichardIII_R3,#RichardIII_R3,123,15
1,3,18,#MURDERERS.1_R3,#MURDERERS.1_R3 #MURDERERS.2_R3 #RichardIII_R3,45,5
1,3,18,#MURDERERS.1_R3 #MURDERERS.2_R3,#MURDERERS.1_R3 #MURDERERS.2_R3 #RichardIII_R3,5,1
1,3,18,#RichardIII_R3,#MURDERERS.1_R3 #MURDERERS.2_R3 #RichardIII_R3,88,13
1,4,19,#Clarence_3H6,#Clarence_3H6 #Jailer_R3,520,69
1,4,19,#Jailer_R3,#Clarence_3H6 #Jailer_R3,68,8
1,4,20,#Brakenbury_R3,#Brakenbury_R3 #Clarence_3H6 #Jailer_R3,56,8
1,4,21,#Brakenbury_R3,#Brakenbury_R3 #Clarence_3H6 #Jailer_R3 #MURDERERS.1_R3 #MURDERERS.2_R3,69,10
1,4,21,#MURDERERS.1_R3,#Brakenbury_R3 #Clarence_3H6 #Jailer_R3 #MURDERERS.1_R3 #MURDERERS.2_R3,30,5
1,4,21,#MURDERERS.2_R3,#Brakenbury_R3 #Clarence_3H6 #Jailer_R3 #MURDERERS.1_R3 #MURDERERS.2_R3,12,2
1,4,22,#Clarence_3H6,#Clarence_3H6 #MURDERERS.1_R3 #MURDERERS.2_R3,592,74
1,4,22,#MURDERERS.1_R3,#Clarence_3H6 #MURDERERS.1_R3 #MURDERERS.2_R3,314,51
1,4,22,#MURDERERS.1_R3 #MURDERERS.2_R3,#Clarence_3H6 #MURDERERS.1_R3 #MURDERERS.2_R3,2,1
1,4,22,#MURDERERS.2_R3,#Clarence_3H6 #MURDERERS.1_R3 #MURDERERS.2_R3,368,54
1,4,23,#MURDERERS.2_R3,#MURDERERS.2_R3,20,3
1,4,24,#MURDERERS.1_R3,#MURDERERS.1_R3 #MURDERERS.2_R3,21,4
1,4,24,#MURDERERS.2_R3,#MURDERERS.1_R3 #MURDERERS.2_R3,29,3
1,4,25,#MURDERERS.1_R3,#MURDERERS.1_R3,46,5
2,1,26,#Buckingham_R3,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Rivers_3H6 #Scales_R3 #Woodeville_R3,87,11
2,1,26,#Dorset_R3,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Rivers_3H6 #Scales_R3 #Woodeville_R3,13,2
2,1,26,#EdwardIV_3H6,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Rivers_3H6 #Scales_R3 #Woodeville_R3,188,26
2,1,26,#Hastings_3H6,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Rivers_3H6 #Scales_R3 #Woodeville_R3,21,3
2,1,26,#QueenElizabeth_3H6,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Rivers_3H6 #Scales_R3 #Woodeville_R3,15,2
2,1,26,#Rivers_3H6,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Rivers_3H6 #Scales_R3 #Woodeville_R3,28,3
2,1,27,#Buckingham_R3,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Woodeville_R3,9,1
2,1,27,#Dorset_R3,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Woodeville_R3,18,2
2,1,27,#EdwardIV_3H6,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Woodeville_R3,45,6
2,1,27,#QueenElizabeth_3H6,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Woodeville_R3,40,5
2,1,27,#RichardIII_R3,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Woodeville_R3,272,36
2,1,28,#EdwardIV_3H6,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Stanley_R3 #Woodeville_R3,291,35
2,1,28,#Stanley_R3,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Stanley_R3 #Woodeville_R3,37,5
2,1,29,#Buckingham_R3,#Buckingham_R3 #Ratcliffe_R3 #RichardIII_R3,5,1
2,1,29,#RichardIII_R3,#Buckingham_R3 #Ratcliffe_R3 #RichardIII_R3,50,6
2,2,30,#ClarencesBoy_R3,#ClarencesBoy_R3 #ClarencesDaughter_R3 #DuchessOfYork_R3,137,17
2,2,30,#ClarencesDaughter_R3,#ClarencesBoy_R3 #ClarencesDaughter_R3 #DuchessOfYork_R3,21,3
2,2,30,#DuchessOfYork_R3,#ClarencesBoy_R3 #ClarencesDaughter_R3 #DuchessOfYork_R3,92,14
2,2,31,#ClarencesBoy_R3,#ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #Rivers_3H6,18,2
2,2,31,#ClarencesBoy_R3 #ClarencesDaughter_R3,#ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #Rivers_3H6,26,3
2,2,31,#ClarencesDaughter_R3,#ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #Rivers_3H6,11,2
2,2,31,#Dorset_R3,#ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #Rivers_3H6,53,7
2,2,31,#DuchessOfYork_R3,#ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #Rivers_3H6,230,29
2,2,31,#QueenElizabeth_3H6,#ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #Rivers_3H6,159,20
2,2,31,#Rivers_3H6,#ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #Rivers_3H6,41,6
