tag,type,n,text,xml:id,who,ana,lemma,facs,part,rendition,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#WITCHES.2_Mac', '#WITCHES.3_Mac', '#WITCHES.1_Mac'}",,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
stage,sound,SD 1.1.0,,snd-0000a,,thunder,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,Thunder,fs-mac-0000070,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,and,fs-mac-0000090,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,Lightning,fs-mac-0000110,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
pc,,SD 1.1.0,.,fs-mac-0000120,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,Enter,fs-mac-0000140,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,three,fs-mac-0000160,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,Witches,fs-mac-0000180,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
pc,,SD 1.1.0,.,fs-mac-0000190,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
sp,,,,sp-0001,{'#WITCHES.1_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
l,,1.1.1,,ftln-0001,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
w,,1.1.1,When,fs-mac-0000230,,#crq-q,when,mac.1.1.0003,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.1,shall,fs-mac-0000250,,#vmb,shall,mac.1.1.0003,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.1,we,fs-mac-0000270,,#pns,we,mac.1.1.0003,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.1,three,fs-mac-0000290,,#crd,three,mac.1.1.0003,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.1,meet,fs-mac-0000310,,#vvi,meet,mac.1.1.0003,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.1,again,fs-mac-0000330,,#av,again,mac.1.1.0003,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
pc,,1.1.1,?,fs-mac-0000340,,,,mac.1.1.0003,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
l,,1.1.2,,ftln-0002,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
w,,1.1.2,In,fs-mac-0000350,,#acp-p,in,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.2,thunder,fs-mac-0000370,,#n1,thunder,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
pc,,1.1.2,",",fs-mac-0000380,,,,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.2,lightning,fs-mac-0000400,,#n1,lightning,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
pc,,1.1.2,",",fs-mac-0000410,,,,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.2,or,fs-mac-0000430,,#cc,or,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.2,in,fs-mac-0000450,,#acp-p,in,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.2,rain,fs-mac-0000470,,#n1,rain,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
pc,,1.1.2,?,fs-mac-0000480,,,,mac.1.1.0004,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
sp,,,,sp-0003,{'#WITCHES.2_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
l,,1.1.3,,ftln-0003,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
w,,1.1.3,When,fs-mac-0000520,,#crq-cs,when,mac.1.1.0005,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.3,the,fs-mac-0000540,,#d,the,mac.1.1.0005,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.3,hurly-burly’s,fs-mac-0000560,,#n1|vvz,hurlyburly|be,mac.1.1.0005,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.3,done,fs-mac-0000580,,#vvn,do,mac.1.1.0005,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
pc,,1.1.3,",",fs-mac-0000590,,,,mac.1.1.0005,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
l,,1.1.4,,ftln-0004,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
w,,1.1.4,When,fs-mac-0000600,,#crq-cs,when,mac.1.1.0006,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.4,the,fs-mac-0000620,,#d,the,mac.1.1.0006,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.4,battle’s,fs-mac-0000640,,#n1|vvz,battle|be,mac.1.1.0006,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.4,lost,fs-mac-0000660,,#vvn,lose,mac.1.1.0006,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.4,and,fs-mac-0000680,,#cc,and,mac.1.1.0006,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.4,won,fs-mac-0000700,,#vvn,win,mac.1.1.0006,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
pc,,1.1.4,.,fs-mac-0000710,,,,mac.1.1.0006,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
sp,,,,sp-0005,{'#WITCHES.3_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
l,,1.1.5,,ftln-0005,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
w,,1.1.5,That,fs-mac-0000750,,#d,that,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.5,will,fs-mac-0000770,,#vmb,will,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.5,be,fs-mac-0000790,,#vvi,be,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.5,ere,fs-mac-0000810,,#acp-p,ere,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.5,the,fs-mac-0000830,,#d,the,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.5,set,fs-mac-0000850,,#n1,set,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.5,of,fs-mac-0000870,,#acp-p,of,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.5,sun,fs-mac-0000890,,#n1,sun,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
pc,,1.1.5,.,fs-mac-0000900,,,,mac.1.1.0007,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
sp,,,,sp-0006,{'#WITCHES.1_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
l,,1.1.6,,ftln-0006,,,,,I,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
w,,1.1.6,Where,fs-mac-0000940,,#crq-q,where,mac.1.1.0008,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.6,the,fs-mac-0000960,,#d,the,mac.1.1.0008,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.6,place,fs-mac-0000980,,#n1,place,mac.1.1.0008,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
pc,,1.1.6,?,fs-mac-0000990,,,,mac.1.1.0008,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
sp,,,,sp-0007,{'#WITCHES.2_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
l,,1.1.7,,ftln-0007,,,,,F,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
w,,1.1.7,Upon,fs-mac-0001030,,#acp-p,upon,mac.1.1.0009,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.7,the,fs-mac-0001050,,#d,the,mac.1.1.0009,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.7,heath,fs-mac-0001070,,#n1,heath,mac.1.1.0009,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
pc,,1.1.7,.,fs-mac-0001080,,,,mac.1.1.0009,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
sp,,,,sp-0008,{'#WITCHES.3_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
l,,1.1.8,,ftln-0008,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
w,,1.1.8,There,fs-mac-0001120,,#acp-av,there,mac.1.1.0010,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.8,to,fs-mac-0001140,,#acp-cs,to,mac.1.1.0010,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.8,meet,fs-mac-0001160,,#vvi,meet,mac.1.1.0010,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.8,with,fs-mac-0001180,,#acp-p,with,mac.1.1.0010,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.8,Macbeth,fs-mac-0001200,,#n1-nn,Macbeth,mac.1.1.0010,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
pc,,1.1.8,.,fs-mac-0001210,,,,mac.1.1.0010,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
sp,,,,sp-0009,{'#WITCHES.1_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
p,,,,p-0009,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
lb,,1.1.9,,ftln-0009,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
w,,1.1.9,I,fs-mac-0001250,,#pns,i,mac.1.1.0011,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.9,come,fs-mac-0001270,,#vvb,come,mac.1.1.0011,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
pc,,1.1.9,",",fs-mac-0001280,,,,mac.1.1.0011,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.9,Graymalkin,fs-mac-0001300,,#n1-nn,Graymalkin,mac.1.1.0011,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
pc,,1.1.9,.,fs-mac-0001310,,,,mac.1.1.0011,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
sp,,,,sp-0010,{'#WITCHES.2_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
p,,,,p-0010,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
lb,,1.1.10,,ftln-0010,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
w,,1.1.10,Paddock,fs-mac-0001350,,#n1,paddock,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.10,calls,fs-mac-0001370,,#vvz,call,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
pc,,1.1.10,.,fs-mac-0001380,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.2_Mac
sp,,,,sp-0011,{'#WITCHES.3_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
p,,,,p-0011,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
lb,,1.1.11,,ftln-0011,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
w,,1.1.11,Anon,fs-mac-0001420,,#av,anon,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
pc,,1.1.11,.,fs-mac-0001430,,,,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.3_Mac
sp,,,,sp-0012,"{'#WITCHES.2_Mac', '#WITCHES.3_Mac', '#WITCHES.1_Mac'}",,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
l,,1.1.12,,ftln-0012,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
w,,1.1.12,Fair,fs-mac-0001450,,#j,fair,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.12,is,fs-mac-0001470,,#vvz,be,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.12,foul,fs-mac-0001490,,#j,foul,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
pc,,1.1.12,",",fs-mac-0001500,,,,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.12,and,fs-mac-0001520,,#cc,and,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.12,foul,fs-mac-0001540,,#j,foul,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.12,is,fs-mac-0001560,,#vvz,be,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.12,fair,fs-mac-0001580,,#j,fair,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
pc,,1.1.12,;,fs-mac-0001590,,,,mac.1.1.0012,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
l,,1.1.13,,ftln-0013,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
w,,1.1.13,Hover,fs-mac-0001600,,#vvb,hover,mac.1.1.0013,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.13,through,fs-mac-0001620,,#acp-p,through,mac.1.1.0013,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.13,the,fs-mac-0001640,,#d,the,mac.1.1.0013,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.13,fog,fs-mac-0001660,,#n1,fog,mac.1.1.0013,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,1.1.13,and,fs-mac-0001680,,#cc,and,mac.1.1.0013,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
